order_id,customer_id,order_purchase_timestamp
10a045cdf6a5650c21e9cfeb60384c16,a4b417188addbc05b26b72d5e44837a1,17-10-2018 17.30
b059ee4de278302d550a3035c4cdb740,856336203359aa6a61bf3826f7d84c49,16-10-2018 20.16
a2ac6dad85cf8af5b0afb510a240fe8c,4c2ec60c29d10c34bd49cb88aa85cfc4,03-10-2018 18.55
616fa7d4871b87832197b2a137a115d2,bf6181a85bbb4115736c0a8db1a53be3,01-10-2018 15.30
392ed9afd714e3c74767d0c4d3e3f477,2823ffda607a2316375088e0d00005ec,29-09-2018 9.13
869997fbe01f39d184956b5c6bccfdbe,55c9dad94ec1a2ba57998bdb376c230a,26-09-2018 8.40
5aac76cf7b07dd06fa4d50bf461d2f40,7a8a02e54cf3472df427e927f8b9c046,25-09-2018 11.59
ed3efbd3a87bea76c2812c66a0b32219,191984a8ba4cbb2145acb4fe35b69664,20-09-2018 13.54
bd35b677fd239386e9861d11ae98ab56,ad2eb5d02c0808bcd8743117f6383cf6,17-09-2018 17.21
ea844c92cf978ea23321fa7fe5871761,6ddc45ad08e6a2c885ca2255fc52d6df,13-09-2018 9.56
1ad22e16129698e1a3cc11e4350d2cb7,d6441eef3f37c3edb0d5634c3c85120b,12-09-2018 15.32
87ae60ef8b08ae0e5f903cacb53a6904,fea4d57ed3a45455f89c25ef3dae8ee8,11-09-2018 16.45
21a00b08cbeb5716bbb66105e3dbd850,002b5342c72978cf0aba6aae1f5d5293,10-09-2018 17.51
a89abace0dcc01eeb267a9660b5ac126,2f0524a7b1b3845a1a57fcf3910c4333,06-09-2018 18.45
4d59cc2a2e7bb6c0a851725f5888a9b5,ead83a4f8f7be8c3034b2e98754a6147,06-09-2018 14.50
afb61112fb99b07fe17e591c68c0c84c,36b182c39933d55e307096ccc3fd2970,06-09-2018 10.48
cfdfd7862e532c4ec1ed1c6a1b56d320,0ab5ac09913dfd3f247c7929a3799799,03-09-2018 18.45
0d3adebce4bebc1f80a7f36e9833f497,a7c87c25dbdded68c26c640582cb5ddb,03-09-2018 18.40
4637ca194b6387e2d538dc89b124b0ee,a73c1f73f5772cf801434bf984b0b1a7,03-09-2018 14.14
54282e97f61c23b78330c15b154c867d,4b7decb9b58e2569548b8b4c8e20e8d7,03-09-2018 9.06
3a3cddda5a7c27851bd96c3313412840,0b0d6095c5555fe083844281f6b093bb,31-08-2018 16.13
572c4bbf0f5f85a9b4a2c4fe0c7f04d5,93ccdc49f22d1b0e3664b2bc328cf23d,30-08-2018 15.11
2663ce3526465b7ee9809428adabdc45,032a544bbe984490f6ff7450e3c8b0bc,30-08-2018 13.07
bb8edfe0742a6a0279b7dff848289568,c2a1740e781cc978dbab71735cf3ce84,30-08-2018 10.24
0a472c47d928bf4cd8b6a7a30345eeb7,8762d94c493b70216cd453ea2320234e,30-08-2018 10.14
8d4c637f1accf7a88a4555f02741e606,b1dd715db389a2077f43174e7a675d07,29-08-2018 16.27
35a972d7f8436f405b56e36add1a7140,898b7fee99c4e42170ab69ba59be0a8b,29-08-2018 15.00
03ef5dedbe7492bdae72eec50764c43f,496630b6740bcca28fce9ba50d8a26ef,29-08-2018 14.52
168626408cb32af0ffaf76711caae1dc,6e353700bc7bcdf6ebc15d6de16d7002,29-08-2018 14.18
0b223d92c27432930dfe407c6aea3041,e60df9449653a95af4549bbfcb18a6eb,29-08-2018 14.18
52018484704db3661b98ce838612b507,e450a297a7bc6839ceb0cf1a2377fa02,29-08-2018 12.25
d03ca98f59480e7e76c71fa83ecd8fb6,56b1ac2855cc6d7950b4ffa6a9b41b0d,29-08-2018 11.06
